"dynamicColors","Freq"
"antiquewhite4",59
"bisque4",82
"black",1000
"blue",2079
"brown",1595
"brown4",89
"coral1",59
"coral2",58
"cyan",497
"darkgreen",286
"darkgrey",230
"darkmagenta",145
"darkolivegreen",159
"darkolivegreen4",33
"darkorange",199
"darkorange2",103
"darkred",316
"darkseagreen4",60
"darkslateblue",80
"darkturquoise",253
"firebrick4",35
"floralwhite",103
"green",1403
"greenyellow",808
"grey",2018
"grey60",388
"honeydew1",60
"indianred4",36
"ivory",106
"lavenderblush3",63
"lightcoral",37
"lightcyan",393
"lightcyan1",111
"lightgreen",370
"lightpink4",64
"lightsteelblue",37
"lightsteelblue1",117
"lightyellow",369
"magenta",837
"maroon",64
"mediumorchid",57
"mediumpurple2",42
"mediumpurple3",119
"midnightblue",427
"navajowhite2",66
"orange",223
"orangered3",50
"orangered4",120
"paleturquoise",166
"palevioletred3",71
"pink",900
"plum",50
"plum1",122
"plum2",78
"purple",817
"red",1122
"royalblue",355
"saddlebrown",178
"salmon",524
"salmon4",71
"sienna3",140
"skyblue",182
"skyblue1",51
"skyblue2",55
"skyblue3",135
"steelblue",167
"tan",691
"thistle1",75
"thistle2",77
"turquoise",2951
"violet",160
"white",188
"yellow",1501
"yellow4",54
"yellowgreen",137
